"","NAME2","ISLAND","date","mean_Kd490_ESA_OC_CCI_8Day_SPAN","q05_Kd490_ESA_OC_CCI_8Day_SPAN","q95_Kd490_ESA_OC_CCI_8Day_SPAN","sd_Kd490_ESA_OC_CCI_8Day_SPAN"
"74","KOOLAU MAU","Maui","2016",0.040319053178772,0.0301263416185975,0.0617830313742161,0.0104143674925907
"75","KOOLAU MAU","Maui","2019",0.0373675789129227,0.0314290028065443,0.0426453247666359,0.00467060951569662
"76","LAHAINA","Maui","2013",0.0331671092320572,0.0292006006464362,0.0391948273405433,0.00334003449276564
"77","LAHAINA","Maui","2016",0.033298839814961,0.0296361977234483,0.0388143677264452,0.00310910629377467
"78","LAHAINA","Maui","2019",0.0326264100743735,0.0293096201494336,0.0365477114915848,0.00259394380857909
"79","KOOLAU LAN","Lanai","2013",0.035253389044962,0.0310586251318455,0.042434848845005,0.00348771043270339
"80","KOOLAU LAN","Lanai","2016",0.0352168482272549,0.0308021239936352,0.0406548745930195,0.00327653937914149
"81","KOOLAU LAN","Lanai","2019",0.0348438905512399,0.0293866699561477,0.0414240144193172,0.00378674570350688
"82","KEALALOLOA","Maui","2013",0.0356087697993802,0.0298786400817335,0.0426263883709908,0.00446332763740573
"83","KEALALOLOA","Maui","2016",0.0366685396813332,0.0304812625050545,0.043831130862236,0.0049809188302792
"84","KEALALOLOA","Maui","2019",0.0354732512397335,0.0302463812753558,0.0404948364943266,0.00352375256298902
"85","KULA","Maui","2013",0.0377878592086908,0.031721561960876,0.045203484967351,0.00491013580744154
"86","KULA","Maui","2016",0.0387118255156417,0.0316784657537937,0.0454718522727489,0.00597296165974122
"87","KULA","Maui","2019",0.0365728744022224,0.0308885807171464,0.0429607275873423,0.00375940370509766
"88","KONA LAN","Lanai","2013",0.0381081660642572,0.0331980353221297,0.0446377880871296,0.00343309336305869
"89","KONA LAN","Lanai","2016",0.0372784937474322,0.0327113572508097,0.0417571652680635,0.00284833444113254
"90","KONA LAN","Lanai","2019",0.0356427909053387,0.0306613733991981,0.0412067245692015,0.00393225875818562
"91","HANA","Maui","2013",0.0326360851018266,0.0284965039230883,0.0384233333170414,0.00398747694419689
"92","HANA","Maui","2016",0.0334626880028973,0.0282950131222606,0.0434501236304641,0.00477821544943205
"93","HANA","Maui","2019",0.0327912880543699,0.0289083832874894,0.0367010425776243,0.00269700437577758
"94","KIPAHULU","Maui","2013",0.0316350676533249,0.0274722538888454,0.0359669998288155,0.00325654408596925
